error_id	type	error_length	suggestion	is_correct	10_gram_is_suggested	10_gram_score	1_gram_is_suggested	1_gram_score	3_gram_is_suggested	3_gram_score	5_gram_is_suggested	5_gram_score	expected
fold7_3062_ID1021.txt_15_46_46_Phänomäne	orth: 19 transpositions: of (e/ä) / (ä/e)	9	Phänomene	1	1	-8703.46	0	0.0	0	0.0	0	0.0	Phänomene
fold7_4555_ID2099.txt_9_50_50_presenter	orth: 19 transpositions: of (e/ä) / (ä/e)	9	präsenter	1	1	-11403.3	0	0.0	0	0.0	0	0.0	präsenter
fold7_4555_ID2099.txt_9_50_50_presenter	orth: 19 transpositions: of (e/ä) / (ä/e)	9	p räsenter	0	1	-8903.09	0	0.0	0	0.0	0	0.0	präsenter
fold7_4662_ID1186.txt_17_245_245_prädigen	orth: 19 transpositions: of (e/ä) / (ä/e)	8	predigen	1	1	-29109.1	1	-1.4717	1	-2.26937	1	-2.22411	predigen
fold7_4662_ID1186.txt_17_245_245_prädigen	orth: 19 transpositions: of (e/ä) / (ä/e)	8	p redigen	0	1	-29109.2	-1	-1.4717	-1	-2.26937	-1	-2.22411	predigen
fold7_4662_ID1186.txt_17_245_245_prädigen	orth: 19 transpositions: of (e/ä) / (ä/e)	8	pr ädigen	0	1	-29109.2	-1	-1.4717	-1	-2.26937	-1	-2.22411	predigen
fold7_4662_ID1186.txt_17_245_245_prädigen	orth: 19 transpositions: of (e/ä) / (ä/e)	8	p rädigen	0	1	-29109.2	-1	-1.4717	-1	-2.26937	-1	-2.22411	predigen
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	Hobbys	1	1	-10111.4	1	-13.0	1	-5.89104	1	-5.07764	Hobbys
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	allgemeinen im Hobbys	0	-1	-10111.4	1	-13.0	-1	-5.89104	-1	-5.07764	Hobbys
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	allgemeinen im	0	-1	-10111.4	1	-13.0	-1	-5.89104	-1	-5.07764	Hobbys
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	allgemeinen	0	-1	-10111.4	1	-13.0	-1	-5.89104	-1	-5.07764	Hobbys
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	allgemeinen Hobbys	0	-1	-10111.4	1	-13.0	1	-6.24431	-1	-5.07764	Hobbys
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	im Hobbys	0	-1	-10111.4	1	-13.0	-1	-5.89104	-1	-5.07764	Hobbys
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	Hobbys im Allgemeinen	0	-1	-10111.4	-1	-13.0	1	-6.04911	1	-5.46033	Hobbys
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	Allgemeinen Hobbys	0	-1	-10111.4	-1	-13.0	1	-6.22956	1	-5.78841	Hobbys
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	im Allgemeinen	0	-1	-10111.4	-1	-13.0	1	-6.25013	1	-5.66865	Hobbys
fold5_1521_ID2015.txt_15_10_10_Hobbies	orth: 18 transpositions: of vowels	7	Hobbys im allgemeinen	0	-1	-10111.4	-1	-13.0	-1	-5.89104	1	-5.66278	Hobbys
fold5_1523_ID2015.txt_17_20_20_Hobbies	orth: 18 transpositions: of vowels	7	Hobbys	1	1	-12914.3	1	-27.0	1	-10.084	1	-9.07548	Hobbys
fold5_1701_ID2712.txt_26_46_46_Parties	orth: 18 transpositions: of vowels	7	Partys	1	1	-19717.6	1	-12.0	1	-3812.88	1	-3812.17	Partys
fold5_1701_ID2712.txt_26_46_46_Parties	orth: 18 transpositions: of vowels	7	man partys	0	1	-7307.93	-1	-12.0	-1	-4.10677	-1	-4.21701	Partys
fold5_1701_ID2712.txt_26_46_46_Parties	orth: 18 transpositions: of vowels	7	an partys	0	1	-7307.95	-1	-12.0	-1	-4.10677	-1	-4.21701	Partys
fold5_1701_ID2712.txt_26_46_46_Parties	orth: 18 transpositions: of vowels	7	-Partys	0	1	-7308.04	1	-12.0	1	-4.10677	1	-4.21701	Partys
fold5_1701_ID2712.txt_26_46_46_Parties	orth: 18 transpositions: of vowels	7	partys	0	1	-7308.11	-1	-12.0	-1	-4.10677	-1	-4.21701	Partys
fold5_1736_ID2018.txt_21_102_102_Parties	orth: 18 transpositions: of vowels	7	Partys	1	1	-20121.3	1	-21.0	1	-2216.53	1	-2214.75	Partys
fold5_1736_ID2018.txt_21_102_102_Parties	orth: 18 transpositions: of vowels	7	-Partys	0	-1	-20121.3	1	-21.0	1	-7.41316	1	-7.24733	Partys
fold5_2008_ID1278.txt_26_20_20_Peargroup	orth: 18 transpositions: of vowels	9	Peergroup	1	1	-12410.7	0	0.0	0	0.0	0	0.0	Peergroup
fold5_2008_ID1278.txt_26_20_20_Peargroup	orth: 18 transpositions: of vowels	9	er Peergroup	0	1	-3006.16	0	0.0	0	0.0	0	0.0	Peergroup
