error_id	type	error_length	suggestion	is_correct	10_gram_is_suggested	10_gram_score	1_gram_is_suggested	1_gram_score	3_gram_is_suggested	3_gram_score	5_gram_is_suggested	5_gram_score	expected
fold4_860_ID2031.txt_9_50_50_Jugendliche	corr: inflection_paradigm	11	jugendlichen	1	0	0.0	1	-1.82762	1	-5.27718	1	-4.28862	jugendlichen
fold4_860_ID2031.txt_9_50_50_Jugendliche	corr: inflection_paradigm	11	jugendliche	0	0	0.0	1	-1.94027	1	-5.47122	1	-4.51479	jugendlichen
fold4_860_ID2031.txt_9_50_50_Jugendliche	corr: inflection_paradigm	11	jugendlicher	0	0	0.0	1	-1.9898	1	-5.72573	1	-4.79452	jugendlichen
fold4_860_ID2031.txt_9_50_50_Jugendliche	corr: inflection_paradigm	11	jugendliches	0	0	0.0	1	-2.09089	1	-5.93247	1	-5.03913	jugendlichen
fold4_860_ID2031.txt_9_50_50_Jugendliche	corr: inflection_paradigm	11	jugendlichem	0	0	0.0	1	-2.09121	1	-5.93531	-1	-4.28862	jugendlichen
fold4_860_ID2031.txt_9_50_50_Jugendliche	corr: inflection_paradigm	11	dass Jugendliche	0	0	0.0	-1	-1.82762	-1	-5.27718	1	-5.03029	jugendlichen
fold4_1004_ID1237.txt_57_6_6_Erwachsenen	corr: inflection_paradigm	11	erwachsenen	0	0	0.0	1	-1.44073	1	-4.48368	1	-3.54385	erwachsene
fold4_1004_ID1237.txt_57_6_6_Erwachsenen	corr: inflection_paradigm	11	erwachsene	1	0	0.0	1	-1.49091	1	-4.57043	1	-3.66542	erwachsene
fold4_1004_ID1237.txt_57_6_6_Erwachsenen	corr: inflection_paradigm	11	erwachsener	0	0	0.0	1	-1.50499	1	-4.63072	1	-3.71173	erwachsene
fold4_1004_ID1237.txt_57_6_6_Erwachsenen	corr: inflection_paradigm	11	Erwachsenenleben	0	0	0.0	1	-1.54065	1	-4.7038	1	-3.79137	erwachsene
fold4_1004_ID1237.txt_57_6_6_Erwachsenen	corr: inflection_paradigm	11	Erwachsenenalter	0	0	0.0	1	-1.57835	1	-4.82714	-1	-3.54385	erwachsene
fold4_1004_ID1237.txt_57_6_6_Erwachsenen	corr: inflection_paradigm	11	Erwachsenenwelt	0	0	0.0	-1	-1.44073	-1	-4.48368	1	-4.13408	erwachsene
