error_id	type	error_length	suggestion	is_correct	10_gram_is_suggested	10_gram_score	10_gram_rank	1_gram_is_suggested	1_gram_score	1_gram_rank	3_gram_is_suggested	3_gram_score	3_gram_rank	5_gram_is_suggested	5_gram_score	5_gram_rank	spellcheker_suggested	spellcheker_score	spellcheker_rank
fold5_4442_ID1107.txt_33_48_48_Ausgehn	orth: 14 omissions: of one grapheme	7	Ausgehauen	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	3	4
fold5_4442_ID1107.txt_33_48_48_Ausgehn	orth: 14 omissions: of one grapheme	7	Ausgeht	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	3
fold5_4442_ID1107.txt_33_48_48_Ausgehn	orth: 14 omissions: of one grapheme	7	Ausgehe	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	2
fold5_4442_ID1107.txt_33_48_48_Ausgehn	orth: 14 omissions: of one grapheme	7	Ausgeh-	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	1
fold5_4442_ID1107.txt_33_48_48_Ausgehn	orth: 14 omissions: of one grapheme	7	Ausgehen	1	0	0.0	-1	1	-18.0	0	1	-5.467	0	1	-5.35532	0	1	1	0
fold7_4015_ID1637.txt_16_89_89_Menschens	infl: strong_instead_of_weak	9	Menscheln	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	2	4
fold7_4015_ID1637.txt_16_89_89_Menschens	infl: strong_instead_of_weak	9	Menschenarm	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	3	3
fold7_4015_ID1637.txt_16_89_89_Menschens	infl: strong_instead_of_weak	9	Menschenscheu	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	4	2
fold7_4015_ID1637.txt_16_89_89_Menschens	infl: strong_instead_of_weak	9	Menschen-	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	1
fold7_4015_ID1637.txt_16_89_89_Menschens	infl: strong_instead_of_weak	9	Menschen	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	0
fold8_43_ID2467.txt_8_12_12_Jahren	corr: case	6	er Jahren	0	1	-3206.63	128	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
fold8_43_ID2467.txt_8_12_12_Jahren	corr: case	6	-Jahren	0	1	-3206.47	112	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
fold8_43_ID2467.txt_8_12_12_Jahren	corr: case	6	- Jahren	0	1	-3206.12	58	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
fold8_43_ID2467.txt_8_12_12_Jahren	corr: case	6	jahren	0	1	-3206.17	70	1	-2.66602	3	1	-4.64712	3	1	-4.9241	3	0	-100	-1
fold8_43_ID2467.txt_8_12_12_Jahren	corr: case	6	jahre	1	0	0.0	-1	1	-2.55221	2	1	-4.44992	2	1	-4.71952	2	0	-100	-1
fold6_4348_ID2695.txt_18_8_8_Hobbies	orth: 18 transpositions: of vowels	7	Hobbes	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	0
fold6_4348_ID2695.txt_18_8_8_Hobbies	orth: 18 transpositions: of vowels	7	Hobbits	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	1
fold0_1508_ID2638.txt_21_0_0_Es	corr: gender	2	Ess	0	1	-3403.15	37	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
fold0_1508_ID2638.txt_21_0_0_Es	corr: gender	2	n Es	0	1	-3403.14	33	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
fold0_1508_ID2638.txt_21_0_0_Es	corr: gender	2	En	0	1	-3403.0	19	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
fold0_1508_ID2638.txt_21_0_0_Es	corr: gender	2	es	0	1	-3402.51	5	1	-0.994543	4	1	-2.22908	4	1	-2.06517	4	0	-100	-1
fold0_1508_ID2638.txt_21_0_0_Es	corr: gender	2	er	0	1	-3402.91	14	1	-0.93345	3	1	-2.13362	3	1	-1.98738	3	0	-100	-1
fold0_1508_ID2638.txt_21_0_0_Es	corr: gender	2	sie	1	1	-3402.67	7	1	-0.825193	2	1	-1.91804	2	1	-1.77862	2	0	-100	-1
fold5_3158_ID2776.txt_9_96_95_das	orth: 11 omissions: of double consonants	3	dasselbe	0	0	0.0	-1	1	-143.0	7	0	0.0	-1	0	0.0	-1	0	-100	-1
