error_id	type	error_length	suggestion	is_correct	5_gram_is_suggested	5_gram_score	5_gram_rank	3_gram_is_suggested	3_gram_score	3_gram_rank	1_gram_is_suggested	1_gram_score	1_gram_rank	10_gram_is_suggested	10_gram_score	10_gram_rank	spellcheker_suggested	spellcheker_score	spellcheker_rank
fold1_2584_ID1496.txt_40_40_40_zuweit	orth: 09 tog instead of sep: other cases	6	weit	0	1	-9.91776	3	1	-5.51385	3	0	0.0	-1	0	0.0	-1	0	-100	-1
fold1_2584_ID1496.txt_40_40_40_zuweit	orth: 09 tog instead of sep: other cases	6	zu-weit	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	4
fold1_2584_ID1496.txt_40_40_40_zuweit	orth: 09 tog instead of sep: other cases	6	zu weit	1	1	-9.75821	0	1	-5.37717	0	0	0.0	-1	1	-10305.2	0	1	1	3
fold1_2584_ID1496.txt_40_40_40_zuweit	orth: 09 tog instead of sep: other cases	6	zuweht	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	2
fold1_2584_ID1496.txt_40_40_40_zuweit	orth: 09 tog instead of sep: other cases	6	zuweist	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	1
fold1_2584_ID1496.txt_40_40_40_zuweit	orth: 09 tog instead of sep: other cases	6	zweit	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	1	0
fold3_560_ID1922.txt_56_106_105_gebe	orth: 19 transpositions: of (e/ä) / (ä/e)	4	- gebe	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-10109.3	162	0	-100	-1
fold3_560_ID1922.txt_56_106_105_gebe	orth: 19 transpositions: of (e/ä) / (ä/e)	4	geben	0	1	-10.3407	5	1	-7.64113	5	1	-3.11486	5	0	0.0	-1	0	-100	-1
fold3_560_ID1922.txt_56_106_105_gebe	orth: 19 transpositions: of (e/ä) / (ä/e)	4	gäbe	1	1	-9.64252	3	1	-7.12755	3	1	-2.85462	0	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	herauszuholen	1	1	-107.596	0	1	-105.478	0	0	0.0	-1	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	herauszu holen	0	1	-108.115	5	1	-105.906	5	0	0.0	-1	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	herauskommen zu holen	0	1	-108.287	6	1	-106.048	6	1	-109.452	2	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	zu holen heraus	0	1	-108.472	9	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	herauskommt zu holen	0	1	-108.488	10	1	-106.223	9	1	-109.744	3	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	holen herauszu	0	1	-108.554	12	1	-106.234	10	0	0.0	-1	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	holen heraus zu	0	0	0.0	-1	1	-106.262	12	0	0.0	-1	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	herauszu zu holen	0	0	0.0	-1	0	0.0	-1	1	-109.905	5	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	herauszuholen zu holen	0	0	0.0	-1	0	0.0	-1	1	-109.905	6	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	heraus zu herauszuholen	0	0	0.0	-1	0	0.0	-1	1	-109.934	7	0	0.0	-1	0	-100	-1
fold9_4275_ID1249.txt_21_39_39_heraus zu holen	orth: 06 sep instead of tog: compounds	15	herauswächst zu holen	0	0	0.0	-1	0	0.0	-1	1	-109.935	8	0	0.0	-1	0	-100	-1
fold6_2161_ID2640.txt_3_80_79_Enzenberger	orth: 28 Eigennamen	11	freudiges	0	1	-16.6576	8	1	-14.553	4	1	-11.1364	9	0	0.0	-1	0	-100	-1
fold6_2161_ID2640.txt_3_80_79_Enzenberger	orth: 28 Eigennamen	11	Betzenberg	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	5	4
fold6_2161_ID2640.txt_3_80_79_Enzenberger	orth: 28 Eigennamen	11	Nienberger	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	3	3
fold6_2161_ID2640.txt_3_80_79_Enzenberger	orth: 28 Eigennamen	11	Münzenberg	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	4	2
fold6_2161_ID2640.txt_3_80_79_Enzenberger	orth: 28 Eigennamen	11	Babenberger	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	3	1
fold6_2161_ID2640.txt_3_80_79_Enzenberger	orth: 28 Eigennamen	11	Enzensberger	1	1	-14.5507	0	1	-13.3252	0	1	-10.1894	0	0	0.0	-1	1	1	0
fold4_167_ID1530.txt_92_65_65_Ich	orth: 03 cap instead of lcp	3	e Ich	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-10210.9	33	0	-100	-1
fold4_167_ID1530.txt_92_65_65_Ich	orth: 03 cap instead of lcp	3	-Ich	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-10210.7	24	0	-100	-1
fold4_167_ID1530.txt_92_65_65_Ich	orth: 03 cap instead of lcp	3	er Ich	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-10210.7	19	0	-100	-1
fold4_167_ID1530.txt_92_65_65_Ich	orth: 03 cap instead of lcp	3	- Ich	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-10210.5	13	0	-100	-1
fold4_167_ID1530.txt_92_65_65_Ich	orth: 03 cap instead of lcp	3	n ich	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-10210.3	9	0	-100	-1
fold4_167_ID1530.txt_92_65_65_Ich	orth: 03 cap instead of lcp	3	Ich-muss-das-haben-was-andere-auch-haben	0	1	-6.21511	4	1	-7.21788	4	1	-2.81086	4	0	0.0	-1	0	-100	-1
fold4_167_ID1530.txt_92_65_65_Ich	orth: 03 cap instead of lcp	3	Ichs	0	1	-6.17761	3	1	-7.19471	3	1	-2.79692	3	0	0.0	-1	0	-100	-1
fold4_167_ID1530.txt_92_65_65_Ich	orth: 03 cap instead of lcp	3	ich	1	1	-5.16145	2	1	-6.35454	2	1	-2.29782	2	1	-10210.3	10	0	-100	-1
fold2_2328_ID2905.txt_1_199_199_die	orth: 28 Eigennamen	3	Die	1	1	-3423.85	2	1	-3427.21	2	0	0.0	-1	0	0.0	-1	0	-100	-1
