error_id	type	error_length	suggestion	is_correct	5_gram_is_suggested	5_gram_score	5_gram_rank	3_gram_is_suggested	3_gram_score	3_gram_rank	1_gram_is_suggested	1_gram_score	1_gram_rank	10_gram_is_suggested	10_gram_score	10_gram_rank	spellcheker_suggested	spellcheker_score	spellcheker_rank
fold7_1993_ID1097.txt_19_4_4_neues	orth: 02 lcp instead of cap: other cases	5	es neu	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-0.501432	65	0	-100	-1
fold7_1993_ID1097.txt_19_4_4_neues	orth: 02 lcp instead of cap: other cases	5	ne ues	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-0.491965	63	0	-100	-1
fold7_1993_ID1097.txt_19_4_4_neues	orth: 02 lcp instead of cap: other cases	5	eu nes	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-0.477971	54	0	-100	-1
fold7_1993_ID1097.txt_19_4_4_neues	orth: 02 lcp instead of cap: other cases	5	neuse	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-0.441531	42	0	-100	-1
fold7_1993_ID1097.txt_19_4_4_neues	orth: 02 lcp instead of cap: other cases	5	neu es	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-0.40909	34	0	-100	-1
fold7_1993_ID1097.txt_19_4_4_neues	orth: 02 lcp instead of cap: other cases	5	n eues	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-0.378436	33	0	-100	-1
fold7_1993_ID1097.txt_19_4_4_neues	orth: 02 lcp instead of cap: other cases	5	neue	0	1	-1.4038	3	1	-1.25399	3	1	-0.820366	3	0	0.0	-1	0	-100	-1
fold7_1993_ID1097.txt_19_4_4_neues	orth: 02 lcp instead of cap: other cases	5	Neues	1	1	-0.967611	0	1	-0.907558	0	1	-0.558761	0	0	0.0	-1	0	-100	-1
fold5_4679_ID1966.txt_16_145_145_erwachsen sein	orth: 06 sep instead of tog: compounds	14	erwachsen ihr	0	0	0.0	-1	1	-2813.33	155	0	0.0	-1	0	0.0	-1	0	-100	-1
fold5_4679_ID1966.txt_16_145_145_erwachsen sein	orth: 06 sep instead of tog: compounds	14	dargestellt sein	0	1	-2812.44	133	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
fold5_4679_ID1966.txt_16_145_145_erwachsen sein	orth: 06 sep instead of tog: compounds	14	Erwachsenwerdens sein	0	1	-2812.43	125	1	-2813.36	176	0	0.0	-1	0	0.0	-1	0	-100	-1
fold5_4679_ID1966.txt_16_145_145_erwachsen sein	orth: 06 sep instead of tog: compounds	14	erwachsen seine	0	1	-2812.38	105	1	-2813.28	128	0	0.0	-1	0	0.0	-1	0	-100	-1
fold5_4679_ID1966.txt_16_145_145_erwachsen sein	orth: 06 sep instead of tog: compounds	14	Erwachsensein sein	0	1	-2812.36	95	1	-2813.22	94	0	0.0	-1	0	0.0	-1	0	-100	-1
fold5_4679_ID1966.txt_16_145_145_erwachsen sein	orth: 06 sep instead of tog: compounds	14	Erwachsenwerden sein	0	1	-2812.24	48	1	-2813.04	40	0	0.0	-1	0	0.0	-1	0	-100	-1
fold5_4679_ID1966.txt_16_145_145_erwachsen sein	orth: 06 sep instead of tog: compounds	14	Erwachsensein	1	1	-2810.98	0	1	-2811.93	0	0	0.0	-1	0	0.0	-1	0	-100	-1
